codigo_ibge,municipio_nome,populacao_2022,total_casos_periodo,taxa_por_10k_hab,idhm_2010,pib_per_capita,indice_coleta_esgoto,indice_tratamento_esgoto
261280,SANTA TEREZINHA,10244,4,3.904724716907458,0.593,9637.75,,
261290,SAO BENEDITO DO SUL,13113,1,0.7626019980172348,0.53,7205.9,,
261300,SAO BENTO DO UNA,49449,7,1.4155999110194342,0.593,24529.96,,
261310,SAO CAITANO,37126,81,21.81759413887841,0.591,11941.92,,
261320,SAO JOAO,23837,95,39.85400847422076,0.57,16964.2,,
261330,SAO JOAQUIM DO MONTE,20037,19,9.482457453710635,0.537,8650.9,,
261340,SAO JOSE DA COROA GRANDE,18825,4,2.1248339973439574,0.608,13307.45,,
261350,SAO JOSE DO BELMONTE,34843,21,6.027035559509802,0.61,10021.24,,
261360,SAO JOSE DO EGITO,31004,6,1.9352341633337635,0.635,12894.4,,
261370,SAO LOURENCO DA MATA,111249,35,3.146095695242205,0.653,12568.1,,
261380,SAO VICENTE FERRER,16677,75,44.97211728728188,0.549,11544.25,,
261390,SERRA TALHADA,92228,148,16.047187405126426,0.661,19359.84,,
261400,SERRITA,18207,220,120.83264678420387,0.595,8382.02,,
261410,SERTANIA,32811,96,29.258480387674865,0.613,10151.94,,
261420,SIRINHAEM,37596,62,16.491116076178315,0.597,15423.1,,
261430,MOREILANDIA,10540,10,9.487666034155598,0.6,8074.11,,
261450,SURUBIM,64120,10,1.5595757953836555,0.635,13831.85,,
261460,TABIRA,27681,13,4.6963621256457495,0.605,10911.39,,
261470,TACAIMBO,13738,1,0.7279079924297569,0.554,11614.02,,
261480,TACARATU,23902,11,4.602125345159401,0.573,9530.56,,
261485,TAMANDARE,23561,12,5.093162429438479,0.593,16595.43,,
261500,TAQUARITINGA DO NORTE,24736,3,1.2128072445019404,0.641,11354.57,,
261510,TEREZINHA,6513,7,10.747735298633502,0.545,10463.31,,
261520,TERRA NOVA,8920,52,58.29596412556054,0.599,9236.21,,
261530,TIMBAUBA,46147,694,150.38897436453075,0.618,14197.56,,
261540,TORITAMA,41137,3,0.7292704864234144,0.618,16237.1,,
261560,TRINDADE,30321,29,9.564328353286502,0.595,13472.16,,
261570,TRIUNFO,14705,3,2.0401224073444406,0.67,10330.73,,
261580,TUPANATINGA,26937,32,11.879570850503026,0.519,8172.21,,
261590,TUPARETAMA,8005,2,2.498438475952529,0.634,10783.76,,
261600,VENTUROSA,17251,3,1.739029621471219,0.592,13132.41,,
261610,VERDEJANTE,9169,50,54.53157378121932,0.605,8454.94,,
261618,VERTENTE DO LERIO,7558,2,2.646202699126753,0.563,9840.59,,
261620,VERTENTES,21959,24,10.92945944715151,0.582,9187.16,,
261630,VICENCIA,26359,31,11.76068894874616,0.605,15789.45,,
261640,VITORIA DE SANTO ANTAO,134084,253,18.86876883147877,0.64,32423.08,,
261650,XEXEU,11611,5,4.306261303935923,0.552,9561.92,,
