Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Iati,2606507,iatiense,CAMILA APARECIDA TENORIO SOUTO DE SOUZA,635.137,17165,27.03,17570,97.88,0.528,18.73,117711681.81,118698057.44,10153.51,
Ibimirim,2606606,ibimiriense,JOS&Eacute; WELLITON DE MELO SIQUEIRA,1929.338,26593,14.13,28825,96.23,0.552,21.45,136509777.05,128191887.7,11158.32,
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7140,37.66,7334,98.96,0.580,9.9,63050909.11,64815757.73,11003.14,
Igarassu,2606804,igarassuense ou igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,115196,375.38,123017,98.11,0.665,13.59,501348092.55,485549756.96,29003.48,
Iguaracy,2606903,iguaraciense,PEDRO ALVES DE OLIVEIRA NETO,836.046,11081,13.22,11347,99.05,0.598,35.09,85405956.47,83910059.22,9161.79,
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1240.961,25603,20.79,27758,97.57,0.523,17.65,143994379.32,135004214.53,8191.73,
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.858,4765,19.56,4975,99.09,0.608,-,46458945.05,45204714.34,11130.08,
Ipojuca,2607208,ipojuquense ou ipojucanos,CARLOS JOS&Eacute; DE SANTANA,521.801,98932,189.60,106539,98.76,0.619,8.78,1911882415.2,1707189429.54,150647.79,
Ipubi,2607307,ipubiense,JO&Atilde;O MARCOS SIQUEIRA TORRES,693.914,29009,41.80,30720,97.25,0.550,11.9,175766843.45,172422339.76,10800.4,
Itacuruba,2607406,itacurubense,OLEGARIO JUNIOR CANTARELLI,436.528,4284,9.96,4491,100,0.595,13.33,53637164.94,48265487.86,14220.22,
Ita&iacute;ba,2607505,itaibense,PEDRO TEOT&Ocirc;NIO DA SILVA NETO,1034.044,32650,30.75,33995,98.53,0.510,15.46,142550031.51,142795450.65,10789.31,
Ilha de Itamarac&aacute;,2607604,itamaracaense,PAULO FERNANDO PIMENTEL GALV&Atilde;O,66.146,24540,371.00,25658,99.67,0.653,20,112795937.29,102085473.98,11051.57,
Itamb&eacute;,2607653,itambeense,ARMANDO PIMENTEL DA ROCHA,304.006,34935,114.92,36652,98.86,0.575,13.59,144248909.42,151583532.61,14321.34,
Itapetim,2607703,itapetinense,ALINE KARINA ALVES DA COSTA,411.875,13791,33.48,14236,98.01,0.592,17.44,97001525.3,96207781.69,10367.12,
Itapissuma,2607752,itapissumense,VALDEMIR LOUREN&Ccedil;O DOS SANTOS J&Uacute;NIOR,73.968,27749,375.15,29669,98.06,0.633,8.22,211797460.98,193851101.7,87814.64,
Itaquitinga,2607802,itaquitinguense,PATRICK JOSE DE OLIVEIRA MORAES,162.739,16554,101.72,17142,98.69,0.586,11.76,89209018.88,77331180.18,9431.09,
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,LUIZ JOS&Eacute; INOJOSA DE MEDEIROS,258.724,644037,2489.28,684293,97.61,0.717,13.41,2398315215.42,2244393765.98,22680.83,
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MACEDO OLIVEIRA,87.208,10247,117.50,10440,97.72,0.575,13.51,76761793.17,69042137.65,9611.54,
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,15843,22.17,16328,98.82,0.530,19.61,112198672.29,96060877.09,8948.98,
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14020,50.46,14477,99.05,0.645,11.24,81534519.41,75149940.78,10318.9,
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,27725,206.68,28842,99.55,0.576,22.58,155257829.09,149093331.99,9432.35,
Joaquim Nabuco,2608206,nabuquense,MARCIA ROBERTA BARRETO,122.605,13269,108.24,13416,99.8,0.554,-,79007610.3,76843632.14,11332.6,
Jucati,2608255,jucatiense,CLELSON LUIS APARECIDO DE MELO,120.167,11517,95.56,12023,99.49,0.550,6.9,91426876.26,86375484.32,11197.05,
Jupi,2608305,jupiense,RIVANDA MARIA FREIRE LIMA TEIXEIRA,104.835,15329,146.22,16022,99.72,0.575,12.45,132421582.8,142769517.11,14274.96,
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,13648,92.06,14002,99.13,0.509,16.95,96937075.56,89891769.61,8579.73,
Lagoa do Carro,2608453,lagoense do carro,JOSE LUIZ ALVES DE AMORIM,69.244,17981,258.10,18804,97.55,0.609,28.44,107023057.71,99085247.32,16313.12,
Lagoa de Itaenga,2608503,itaenguense,DIMAS CAETANO DE SOUSA,57.298,19003,338.55,19863,98.86,0.602,20.41,123147699.49,114445943.77,22468.99,
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,199.996,11933,60.04,12367,99.38,0.525,6.99,100014519.01,98178836.99,10467.9,
Lagoa dos Gatos,2608701,lagoense,ST&Ecirc;NIO FERNANDES DE ALBUQUERQUE,224.947,14076,62.57,14333,98.72,0.551,18.63,89622687.83,76302967.28,8286.49,
Lagoa Grande,2608750,lagoa-grandense,ANA CATHARINA GARZIERA MORENO,1850.070,24088,13.02,24951,97.59,0.597,14.37,175289740.64,166361095.04,17510.3,
Lajedo,2608800,lajedense,ERIVALDO RODRIGUES AMORIM,189.096,39582,209.32,41960,96.88,0.611,17.94,204088041.96,199062506.31,14323.21,
Limoeiro,2608909,limoeirense,ORLANDO JORGE PEREIRA DE ANDRADE LIMA,273.733,56510,206.44,59236,98.61,0.663,18.75,273252538.68,230633686.26,14930.68,
Macaparana,2609006,macaparanense,PAULO BARBOSA DA SILVA,108.049,23879,221.00,24642,98.56,0.609,9.46,136466664.6,133972108.79,11092.43,
Machados,2609105,machadense,JUAREZ RODRIGUES FERNANDES,58.320,11333,183.92,11387,98.51,0.578,13.51,96161674.47,87781346.29,13069.99,
Manari,2609154,manariense,AUDALIO MARTINS DA SILVA JUNIOR,386.570,23763,68.94,27046,98.68,0.487,15.09,113756412.99,111378465.03,6293.67,
Maraial,2609204,maraialense,MARLOS HENRIQUE CAVALCANTI,199.865,9359,46.83,9322,98.5,0.534,25.32,65015065.29,58007547.63,8333.9,
Mirandiba,2609303,mirandibense,EVALDO BEZERRA DE CARVALHO,821.676,14166,17.24,14605,97.26,0.591,13.64,89285940.01,83209682.58,10509.75,
Moreno,2609402,morenense,EDMILSON CUPERTINO DE ALMEIDA,194.197,55292,284.72,57654,98.49,0.652,19.85,223175839.6,225475348.06,13990.88,
Nazar&eacute; da Mata,2609501,nazareno,ADRIANA ANDRADE LIMA VASCONCELOS COUTINHO,130.572,30648,234.72,32187,99.46,0.662,9.9,120855761.99,121227992.48,21071.46,
Olinda,2609600,olindense,MIRELLA FERNANDA BEZERRA DE ALMEIDA,41.300,349976,8474.00,364717,98.28,0.735,11.53,1165401241.51,1147475096.23,14700.91,
Orob&oacute;,2609709,orobense,SEVERINO LUIZ PEREIRA DE ABREU,138.362,21808,157.43,22412,99.77,0.610,3.91,151482453.83,138012894.06,16626.83,
Oroc&oacute;,2609808,orocoense,ISMAEL FERNANDES BIONE LIRA,554.759,13613,24.54,14129,98.44,0.610,-,95361853.54,91261318.67,12178.95,
Ouricuri,2609907,ouricuriense,FRANCISCO VICTOR RAMOS COELHO,2381.570,65245,27.40,68489,98.64,0.572,21.76,243759553.61,267432401.6,11076.44,
Palmares,2610004,palmarense,JOS&Eacute; BARTOLOMEU DE ALMEIDA MELO JUNIOR,339.388,54584,160.82,56475,98.78,0.622,7.83,373446010.96,335026654.38,14497.54,
Palmeirina,2610103,palmeirinense,THATIANNE PINTO MACEDO LIMA,169.012,7031,41.65,7104,99.69,0.549,-,54915280.82,52253412.19,10648.42,
Panelas,2610202,panelense,RUBEN DE LIMA BARBOSA,380.428,22991,60.43,23337,98.96,0.569,12.46,144059207.2,154154841.35,8682.82,
Paranatama,2610301,paranatamense,HENRIQUE DE OLIVEIRA GOIS,185.371,12199,65.81,12778,98.73,0.537,8.77,84471495.54,90537394.01,24618.65,
Parnamirim,2610400,parnamirinense,LUCELIO MUCIO MOURA ANGELIM,2609.548,18612,7.13,18960,98.35,0.599,12.61,118892552.42,119794165.96,9604.04,
